Query,BM25(ms),BM25@5,Brute(ms),Brute@5,Chroma(ms),Chroma@5,Pinecone(ms),Pinecone@5
Python developer with machine learning experience,98.8001823425293,1.0,39.37244415283203,1.0,60.60910224914551,1.0,328.7842273712158,1.0
Data scientist skilled in NLP and deep learning,136.52634620666504,1.0,35.54892539978027,1.0,2.1517276763916016,1.0,231.42361640930176,1.0
Backend engineer with Django and REST API,116.02330207824707,1.0,37.958621978759766,0.2,1.8458366394042969,0.2,265.3002738952637,0.2
AI engineer with TensorFlow and PyTorch,102.24676132202148,1.0,38.0556583404541,0.8,2.190113067626953,1.0,228.20496559143066,0.8
Software developer with strong DSA skills,108.05130004882812,1.0,39.077043533325195,0.0,1.9576549530029297,0.2,254.00352478027344,0.0
Fresher software engineer with internship experience,101.57632827758789,1.0,35.39109230041504,0.6,2.2902488708496094,0.6,232.1300506591797,0.6
Candidate with two years experience in data analytics,125.83017349243164,1.0,37.728071212768555,1.0,1.913309097290039,1.0,267.58408546447754,1.0
Entry level data scientist with projects,103.32536697387695,1.0,35.63284873962402,0.0,2.111673355102539,0.0,228.23476791381836,0.0
Full stack developer with React and Node.js,117.87676811218262,1.0,37.90473937988281,1.0,1.9218921661376953,1.0,229.5358180999756,1.0
Professional with AWS cloud experience,84.05280113220215,1.0,38.06185722351074,1.0,1.77764892578125,1.0,227.01525688171387,1.0
Computer science graduate in AI,86.66419982910156,1.0,37.54401206970215,1.0,1.886606216430664,1.0,231.9788932800293,1.0
BTech graduate with programming skills,82.95679092407227,1.0,38.38014602661133,0.0,1.848459243774414,0.0,236.48405075073242,0.0
Engineering student with research background,87.40878105163574,1.0,34.92617607116699,0.4,1.865386962890625,0.2,230.85665702819824,0.4
Graduate specialized in data science,89.1880989074707,1.0,32.77850151062012,1.0,1.6109943389892578,1.0,229.34508323669434,1.0
Resume for ML engineer role,83.32538604736328,1.0,31.945466995239258,0.4,1.6350746154785156,0.0,231.74762725830078,0.4
Profile for data analyst job,87.06831932067871,1.0,38.041114807128906,0.4,1.8839836120605469,0.8,231.80699348449707,0.4
Backend Python developer profile,72.86596298217773,0.0,38.63072395324707,0.0,1.859903335571289,0.0,232.588529586792,0.0
Business intelligence analyst profile,71.66576385498047,0.4,38.31028938293457,0.4,2.8562545776367188,0.4,228.104829788208,0.4
Experience with SQL Power BI Tableau,93.66846084594727,1.0,38.08116912841797,0.6,1.9793510437011719,0.4,229.16841506958008,0.6
Docker Kubernetes DevOps experience,71.28190994262695,1.0,37.89997100830078,0.8,1.9736289978027344,1.0,231.49943351745605,0.8
